id,season_id,episode_in_season_id,views
1,1,1,2.22
2,1,2,2.2
3,1,3,2.44
4,1,4,2.45
5,1,5,2.58
6,1,6,2.44
7,1,7,2.4
8,1,8,2.72
9,1,9,2.66
10,1,10,3.04
11,2,1,3.86
12,2,2,3.76
13,2,3,3.77
14,2,4,3.65
15,2,5,3.9
16,2,6,3.88
17,2,7,3.69
18,2,8,3.86
19,2,9,3.38
20,2,10,4.2
21,3,1,4.37
22,3,2,4.27
23,3,3,4.72
24,3,4,4.87
25,3,5,5.35
26,3,6,5.5
27,3,7,4.84
28,3,8,5.13
29,3,9,5.22
30,3,10,5.39
31,4,1,6.64
32,4,2,6.31
33,4,3,6.59
34,4,4,6.95
35,4,5,7.16
36,4,6,6.4
37,4,7,7.2
38,4,8,7.17
39,4,9,6.95
40,4,10,7.09
41,5,1,8
42,5,2,6.81
43,5,3,6.71
44,5,4,6.82
45,5,5,6.56
46,5,6,6.24
47,5,7,5.4
48,5,8,7.01
49,5,9,7.14
50,5,10,8.11
51,6,1,7.94
52,6,2,7.29
53,6,3,7.28
54,6,4,7.82
55,6,5,7.89
56,6,6,6.71
57,6,7,7.8
58,6,8,7.6
59,6,9,7.66
60,6,10,8.89
61,7,1,10.11
62,7,2,9.27
63,7,3,9.25
64,7,4,10.17
65,7,5,10.72
66,7,6,10.24
67,7,7,12.07
68,8,1,11.76
69,8,2,10.29
70,8,3,12.02
71,8,4,11.8
72,8,5,12.48
73,8,6,13.61